id	name	lat	lng
39	1-MAKTAB	39.0319051410468	65.583531708432
107	10-MAKTAB MIKRARAYON	39.05439863751687	65.56686029898688
108	1067 OFIS	39.032104836937556	65.59731639085332
4	11-MAKTAB	39.0279343045904	65.5697396829245
36	2-MAKTAB	39.036595901369	65.5845175022707
94	21-AVTOBAZA	39.0571524886998	65.5800077052698
104	3-MAKTAB	39.030429992742825	65.56082849331595
111	4-MAKTAB	39.045705096357324	65.56523768772617
105	5-MAKTAB	39.05018141172267	65.58208258895158
11	5-MIKRORAYON	39.0587433409092	65.5680413369688
51	6-MAKTAB MESIT	39.0529527995915	65.5935479781168
77	7-MAKTAB	39.0388898146742	65.5759473912059
17	8-MAKTAB	39.0262549182229	65.5963966164856
21	9-MAKTAB	39.0400363117533	65.5857181549072
22	94-MAKTAB	39.0406362961211	65.6048798561096
78	98-MAKTAB	39.0551198042454	65.5497004288483
74	ABBOSPAY	39.051133963177	65.5750033173828
95	AFSONA MARKET	39.044777715909575	65.58740258216858
18	AMIR TEMUR BOG'I	39.0499341676598	65.5913969788818
9	AMON-OTA	39.0513684889711	65.60063123703
2	ARABXONA	39.04678810796633	65.56404861031092
110	ARABXONA YANGI MACHIT	39.04857141234033	65.56253402103916
34	ARALIQ	39.0236847766798	65.5973267555237
8	BAHOR	39.0448527092009	65.5843985080719
44	BIRINCHI SEKTOR	39.0324815042926	65.599718262558
96	BOGʼISHAMOL	39.03315279324923	65.55130004882812
19	DEHQON BAR	39.0679754198009	65.5957834832553
10	DEHQON BOZOR	39.0289523508675	65.5765771865845
56	DUNYO MARKET	39.0265095365119	65.5738085636055
97	DO'STLIK	39.05615485499933	65.58751075138584
102	ESABOY	39.03369281207088	65.5121980324765
52	ESKI SUDXONA	39.0327823282744	65.5893126112043
54	FARANGIZ	39.0421320448139	65.5859172851855
76	FAYZBAR	39.0353475746442	65.5839458256056
16	GULMIRA	39.0387215253198	65.5851524579946
55	GULVER BOG'CHA	39.0449434936208	65.60477826566
72	HOKIMIYAT	39.04744329012	65.5842043656159
5	ILGIZJON RESTARANI	39.0340016175131	65.5839897888947
43	ISTIQBOL	39.0249683673204	65.5621716294555
112	ISTIQLOL BOZORCHA	39.0292134614075	65.57579704382252
63	IYMAN QURILISH MOLLARI	39.0333028044315	65.5898380279541
32	ISHONCH	39.0291219603953	65.5807925912013
48	JIZZALIK	39.0343683065475	65.5702826295166
101	JOKKI BAR	39.051455540474166	65.60096103034992
100	KAMOL MARKET	39.031346769302665	65.60349135269657
13	KARVON CHOYXONA	39.0575171006725	65.5930137634277
80	KOMIL QASSOB	39.044536070318	65.590353012085
33	KOSON CITY	39.0509935563065	65.5907392501831
106	KOZMUNCHOQ BOGCHA	39.04744409513877	65.58962345123291
57	KUXNA QALA	39.0288094910239	65.5809915032211
6	LOLAZOR	39.0517341661235	65.5815882225582
87	MALIKA SALON	39.0287523235748	65.5801177024841
64	MAYMANOQ PAVAROT	39.0282743926762	65.5748967950784
14	MESIT MASJID	39.0507685957523	65.5974555015564
30	MESIT CHORAXA	39.0559841635724	65.5962753295898
67	METAN ZAPRAVKA TOG	39.014782350972	65.5655479431152
71	MEZ ZAVOD	39.0579257126484	65.5979544344749
47	MUG'JAGUL	39.0345816518157	65.5767800110626
50	NARTIBALAND NAVRUZ	39.0790947900216	65.5820047334986
26	NARTIBALAND QABRISTON	39.0375863227058	65.5978631973267
15	NARTCHUQUR	39.0395517525125	65.5825306671906
