id	name	lat	lng	taxmin
9	AMON-OTA	39.0513684889711	65.60063123703	mahalla   f
2	ARABXONA	39.04678810796633	65.56404861031092	mahalla true
34	ARALIQ	39.0236847766798	65.5973267555237	mahalla  t
74	ABBOSPAY	39.051133963177	65.5750033173828	mahalla  t
102	ESABOY	39.03369281207088	65.5121980324765	mahalla  t
8	BAHOR	39.0448527092009	65.5843985080719	mahalla  f
44	BIRINCHI SEKTOR	39.0324815042926	65.599718262558	mahalla t
96	BOGʼISHAMOL	39.03315279324923	65.55130004882812	mahalla t
97	DO'STLIK	39.05615485499933	65.58751075138584	mahalla t
54	FARANGIZ	39.0421320448139	65.5859172851855	mahalla f
16	GULMIRA	39.0387215253198	65.5851524579946	mahalla  f
43	ISTIQBOL	39.0249683673204	65.5621716294555	mahalla t
32	ISHONCH	39.0291219603953	65.5807925912013	mahalla  f
48	JIZZALIK	39.0343683065475	65.5702826295166	mahalla t
57	KUXNA QALA	39.0288094910239	65.5809915032211	mahalla f
6	LOLAZOR	39.0517341661235	65.5815882225582	mahalla t
47	MUG'JAGUL	39.0345816518157	65.5767800110626	mahalla t
15	NARTCHUQUR	39.0395517525125	65.5825306671906	mahalla t
84	NARTCHUQUR DORQUDUQ	39.0447348182314	65.5766341004638	unsure — Nartchuqur sub-nuqtasimi, alohida mahallami? t
61	NARTCHUQUR CHORAXA	39.0425248477712	65.5770397296588	unsure — chorraha nomi, mahalla emasga o'xshaydi t
26	NARTIBALAND QABRISTON	39.0375863227058	65.5978631973267	unsure — qabriston yonidagi mahallami? t
50	NARTIBALAND NAVRUZ	39.0790947900216	65.5820047334986	unsure t
20	OLON	39.0367953678773	65.5805209794004	mahalla t
92	OQTEPA	39.0965335233595	65.6119276779938	mahalla t
85	OQYO'L	39.0284643816096	65.5688621300507	mahalla t
3	PIKARNI YANGIOBOD	39.0224332685558	65.5708576935578	mahalla t
93	PILAQUM	39.0654461262203	65.5593992966461	mahalla t
25	QUYBOQ	39.0377350896501	65.5609442490387	mahalla t
37	QUYI OBRON	39.0300351049016	65.6116133135461	mahalla t
99	YUQORI OBRON	39.00995021768721	65.63363301954746	mahalla t
45	O'RTA OBRON	39.019365838337	65.6224419373322	mahalla t
75	RAVOT	39.0265674204549	65.5866934555817	mahalla t
12	RAVOT TOG' ETAGI	39.0177838921612	65.5836768553783	unsure — Ravot sub-nuqtasimi? t
31	REGZOR	39.02506593599393	65.60185140292315	mahalla  t
98	SARIPUL MAHALLA	39.03077170879244	65.5880257355167	mahalla t
91	SARG'AYMA	39.02826254767916	65.58829850051153	mahalla t
86	SULTONZODALAR	39.0427266523622	65.6030642323497	mahalla  f
7	TAHTABOZOR	39.018139713504	65.5681421759315	unsure — "taxta bozor" nomli mahalla yoki bozor joyimi? t
23	TEMIRCHI GUZAR	39.0338464385423	65.5810926348118	mahalla t
60	TOKZOR	39.0280009811892	65.565493275528	mahalla t
82	UMAROTA	39.0524182898429	65.5927991867065	mahalla f
83	UMIDBEK	39.0366529711992	65.6076908111572	mahalla f
69	UCHQIRA	39.0414683276132	65.5852772620707	mahalla t
49	VAGZAL	39.0620531211106	65.5781103867341	unsure — vokzal hududi, mahalla nomi sifatida ishlatiladimi? t
79	YANGIOBOD	39.0255472407201	65.5690552490997	mahalla t
42	ZARSAROY	39.0330682186579	65.5832173126984	mahalla f
35	SHABADA	39.027211641074565	65.60648330561659	mahalla t
53	SHIRINBAR	39.0284179267472	65.5825564817105	unsure — "bar" qo'shimchasi bilan, lekin joy nomi bo'lishi mumkin f
27	SHOHSAROY	39.0321999508449	65.5973633050162	mahalla f
29	SHOQUL OTA	39.0308297729545	65.5835374800951	mahalla f
88	CHINOR	39.0435861451536	65.5466651916504	mahalla f
40	CHORBOG'	39.0825730331471	65.5496499848761	mahalla t
11	5-MIKRORAYON	39.0587433409092	65.5680413369688	unsure — mikrorayon, mahalla bo'lishi mumkin t
